arrival_time,start_time,finish_time,wait_time,queue_length
01-05-2023 20.34,01-05-2023 20.58,2023-05-01 21:22:26,23.55,24.0
13-10-2023 17.47,13-10-2023 18.02,2023-10-13 18:07:08,14.86,9.0
23-09-2023 19.17,23-09-2023 19.35,2023-09-23 19:37:48,17.95,24.0
29-10-2023 23.04,29-10-2023 23.42,29-10-2023 23:53:07.045146,38.24,64.0
30-03-2023 19.51,30-03-2023 19.51,2023-03-30 20:00:39.400000000,9.49,12.0
20-08-2023 00.39,20-08-2023 01.06,2023-08-20 01:11:13,,34.0
12-05-2023 05.20,12-05-2023 05.46,12-05-2023 05:52:23.641056,26.34,25.0
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:51:18.000000000,12.0,50.0
05-08-2023 05.59,05-08-2023 06.26,2023-08-05 06:37:30,27.26,35.0
15-10-2023 14.15,15-10-2023 14.42,2023-10-15 15:00:50,27.15,195.0
30-03-2023 16.45,30-03-2023 16.45,2023-03-30 16:51:30.200000000,6.37,27.0
13-03-2024 20.45,2024-03-13 21:10,2024-03-13 21:15:46,24.73,44.0
14-07-2023 22.17,14-07-2023 22.31,2023-07-14 22:47:33,14.2,38.0
12-03-2024 13.04,12-03-2024 13.28,2024-03-12 13:40:12,24.27,29.0
10-11-2023 02.57,2023-11-10 03:02,2023-11-10 03:09:53,,0.0
01-07-2023 22.23,01-07-2023 22.45,2023-07-01 22:52:28,22.37,30.0
29-10-2023 04.51,29-10-2023 05.05,2023-10-29 05:07:14,13.35,19.0
27-09-2023 21.55,27-09-2023 22.13,2023-09-27 22:25:39,17.75,26.0
29-09-2023 11.38,29-09-2023 11.59,2023-09-29 12:08:34,21.13,11.0
25-01-2024 18.50,25-01-2024 19.22,2024-01-25 19:24:54,32.14,49.0
17-01-2024 00.16,17-01-2024 00.43,2024-01-17 00:59:19,27.35,30.0
08-03-2024 08.11,08-03-2024 08.39,2024-03-08 08:48:46,27.99,38.0
25-10-2023 23.45,2023-10-26 00:05,2023-10-26 00:16:37,20.51,24.0
14-05-2023 04.32,14-05-2023 04.55,2023-05-14 05:05:19,23.29,23.0
25-05-2023 01.25,25-05-2023 01.04,2023-05-25 01:27:07,20.66,19.0
10-08-2023 19.39,10-08-2023 20.08,2023-08-10 20:28:13,29.23,36.0
10-06-2023 04.58,10-06-2023 05.23,2023-06-10 05:25:56,24.82,31.0
07-11-2023 04.44,07-11-2023 04.55,2023-11-07 05:08:49,11.31,19.0
2023/10/30 16:19:43,30-10-2023 16.48,2023-10-30 17:01:32,28.6,23.0
03-05-2023 17.12,03-05-2023 17.41,2023-05-03 17:44:12,28.97,37.0
10-09-2023 16.12,10-09-2023 16.31,2023-09-10 16:38:18,73.22,29.0
05-08-2023 04.52,05-08-2023 05.14,2023-08-05 05:25:30,21.82,27.0
30-03-2023 19.51,30-03-2023 19.52,2023-03-30 20:01:13.600000000,9.06,12.0
31-08-2023 18.33,31-08-2023 19.02,2023-08-31 19:13:52,29.17,40.0
2024/02/09 16:19:26,09-02-2024 16.47,2024-02-09 16:58:20,28.43,37.0
19-12-2023 02.32,19-12-2023 02.58,2023-12-19 03:05:11,25.25,30.0
24-11-2023 06.30,24-11-2023 06.45,2023-11-24 06:55:03,14.96,14.0
21-10-2023 09.10,2023-10-21 09:43,2023-10-21 09:48:17,33.16,52.0
22-09-2023 06.26,2023-09-22 06:43,2023-09-22 06:57:26,16.94,29.0
29-04-2023 12.10,29-04-2023 12.34,2023-04-29 12:44:06,24.5,47.0
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:42:24.200000000,-0.38,47.0
30-03-2023 18.31,30-03-2023 18.33,2023-03-30 18:44:40.800000000,11.28,30.0
14-04-2023 11.07,14-04-2023 11.26,2023-04-14 11:34:41,19.16,32.0
12-05-2023 06.05,12-05-2023 06.21,12-05-2023 06:23:01.909477,15.18,15.0
14-08-2023 09.04,14-08-2023 09.30,2023-08-14 09:40:38,26.04,50.0
06-06-2023 14.12,06-06-2023 14.30,2023-06-06 14:43:30,17.93,41.0
26-06-2023 05.27,26-06-2023 05.51,2023-06-26 06:00:04,24.57,35.0
06-11-2023 06.55,06-11-2023 07.22,2023-11-06 07:40:35,27.17,44.0
08-05-2023 07.58,08-05-2023 08.37,2023-05-08 08:54:21,38.71,47.0
01-12-2023 11.50,01-12-2023 12.13,2023-12-01 12:26:37,22.73,24.0
,10-03-2024 06.35,2024-03-10 06:50:41,16.66,28.0
19-11-2023 04.07,19-11-2023 04.21,2023-11-19 04:30:35,13.82,23.0
02-03-2024 06.39,02-03-2024 06.59,2024-03-02 07:15:17,19.39,15.0
24-01-2024 10.14,24-01-2024 10.39,2024-01-24 10:50:20,24.71,34.0
28-07-2023 21.55,28-07-2023 22.28,2023-07-28 22:40:50,32.83,50.0
30-03-2023 9.49,30-03-2023 9.57,2023-03-30 10:08:35.199999999,11.52,10.0
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:51:26.400000000,14.14,50.0
30-03-2023 11.32,30-03-2023 11.32,2023-03-30 11:36:58.400000000,4.49,2.0
26-03-2024 14.04,26-03-2024 14.30,2024-03-26 14:49:21,25.82,40.0
09-07-2023 12.26,09-07-2023 12.50,2023-07-09 13:02:12,24.08,35.0
24-02-2024 00.37,24-02-2024 01.01,2024-02-24 01:12:25,23.98,46.0
05-10-2023 12.35,05-10-2023 12.48,2023-10-05 12:52:33,13.64,14.0
17-02-2024 20.44,17-02-2024 21.12,2024-02-17 21:18:37,27.97,44.0
01-11-2023 10.28,01-11-2023 10.49,2023-11-01 10:59:21,21.76,37.0
30-03-2023 0.10,30-03-2023 0.19,2023-03-30 00:30:52.600000000,11.81,28.0
2023/04/13 10:42:50,13-04-2023 11.05,2023-04-13 11:16:05,22.96,22.0
03-08-2023 14.44,03-08-2023 15.06,2023-08-03 15:12:24,21.25,28.0
30-03-2023 16.45,30-03-2023 16.54,2023-03-30 17:13:50.000000000,19.7,27.0
29-08-2023 02.29,29-08-2023 02.52,2023-08-29 03:05:47,22.83,43.0
30-03-2023 12.33,30-03-2023 12.42,2023-03-30 12:52:08.800000000,10.03,40.0
